A,elt,Z,S(2n),S(2n)_err,S(2p),S(2p)_err,Q(a),Q(a)_err,Q(2B-),Q(2B-)_err,Q(ep),Q(ep)_err,Q(B- n),Q(B- n)_err,N,N_to_Z_ratio,Vp,Vn,Shell_Closure,Parity,S(n),N_Z_excess,S(2n)_MeV
36,K,19,32340.0,196.0,7555.0379,0.3288,-6507.3916,0.6061,-33567.0,300.0,4307.379,0.3271,-30679.0,200.0,17,0.8947368421052632,-1,-3,0,,14315.6064,-2,32.34
63,As,33,32443.0,361.0,944.0,204.0,-2165.0,263.0,,,11198.0,200.0,,,30,0.9090909090909091,5,2,0,,17152.0,-3,32.443
130,I,53,15340.794,4.7978,16884.2785,19.0416,-2967.9684,32.0018,-36.4335,8.932,-9595.7749,21.4438,-6311.4363,3.1537,77,1.4528301886792452,3,-5,0,,6500.33,24,15.340794
185,Ir,77,16276.0554,37.2775,9103.8371,29.0769,3756.9382,30.6331,-8477.4079,28.0663,-3404.7093,28.2701,-11074.3893,31.5957,108,1.4025974025974026,-5,-18,0,,8796.0205,31,16.2760554
75,Zn,30,13108.1415,2.7013,27028.699,3.1141,-9577.5964,2.9715,9298.0567,1.9568,-21148.0,200.0,-2580.6081,3.5764,45,1.5,2,-5,0,,4873.5139,15,13.1081415
137,In,49,4862.0,500.0,,,-9175.0,640.0,24230.0,403.0,,,12269.0,447.0,88,1.7959183673469388,-1,6,0,,2931.0,39,4.862
111,Cd,48,16890.5527,1.5666,16223.7054,1.1523,-3304.5091,1.2534,-3313.6664,5.3381,-8210.3137,0.5581,-10853.5956,11.5482,63,1.3125,-2,13,0,,6975.5956,15,16.8905527
193,W,74,11156.0,205.0,,,-1465.0,361.0,7205.0,200.0,,,-2672.0,212.0,119,1.6081081081081081,-8,-7,0,,4642.0,45,11.156
145,Eu,63,19892.8493,11.4039,9608.8022,3.8306,106.4919,14.3036,-11591.8313,110.9379,-3864.3787,3.7974,-14303.3309,28.1119,82,1.3015873015873016,13,0,1,,10443.6676,19,19.8928493
144,La,57,10968.3457,14.383,18913.0456,14.7409,-224.8374,15.3159,5900.9284,13.217,-14463.1122,14.9904,-1314.5995,13.1651,87,1.5263157894736843,7,5,0,,4749.5103,30,10.9683457
231,U,92,13547.3043,6.4468,10357.5076,3.2607,5576.2769,1.6641,-4502.6252,22.2097,-4345.5311,2.4869,-9501.9818,55.0663,139,1.5108695652173914,10,13,0,,5880.3832,47,13.5473043
281,Ds,110,11894.0,780.0,7805.0,776.0,9473.0,208.0,-4674.0,633.0,-2436.0,776.0,-8684.0,725.0,171,1.5545454545454545,-16,45,0,,5119.0,61,11.894
140,Dy,66,24042.0,643.0,1748.0,448.0,3835.0,499.0,,,7512.0,446.0,,,74,1.121212121212121,16,-8,0,,13201.0,8,24.042
